"id","name","brand"
"1560001","INTERMARCHE CONTACT","Intermarché Contact"
"38110001","Carrefour Market","Carrefour Market"
"20600006","SAS BRUNINI ET FILS","Total"
"79410001","Super U ECHIRE","Système U"
"71170001","Carrefour Market","Carrefour Market"
"62350002","Carrefour Contact Saint-Venant","Carrefour Contact"
"6300008","ESSO ST ROCH NICE","Esso Express"
"2190005","Station AVIA","Avia"
"61100012","GARAGE DU HAZÉ FLERS","Total"
"13920007","Le chalet",""
"4500002","ESSO SERVICE MOINE ALAIN","Esso"
"78100002","RELAIS ST GERMAIN EN LAYE ROOSEVELT","Total"
"90200002","INTERMARCHE GIROMAGNY","Intermarché"
"77400005","TOTAL Metin lagny","Total"
"39200003","RELAIS ST CLAUDE LYON","Total Access"
"62110001","SARL SANDRAH","Total"
"5130001","MARTINE TEISSEIRE","Total"
"74960012","AGIP CRAN GEVRIER ROUTE DES CREUSES","Agip"
"42152007","AGIP L&#039,HORME AV BERTHELOT","Agip"
"82800002","INTERMARCHE","Intermarché"
"88100008","ENI SAINT DIE","Agip"
"32110003","GERSTATION - SAS NOGAGERS",""
"1960006","AGIP PERONNAS","Agip"
"38360001","Carrefour Market","Carrefour Market"
"21300001","GEANT CASINO","Géant"
"1170005","Station des Tilleuls","Avia"
"66270002","CARREFOUR CONTACT","Carrefour Contact"
"6160008","AGIP ANTIBES JUAN LES PINS","Agip"
"65310001","GEANT CASINO","Géant"
"59510003","RELAIS TROIS BAUDETS","Total Access"
"40180001","EOR SAUGNAC VOISIN","Total"
"12300001","GEANT CASINO","Géant"
"62200005","RELAIS BOULOGNE S.MER DAUNOU","Total"
"87000001","GEANT CASINO","Super Casino"
"6296001","STATION DU MIN","Indépendant sans enseigne"
"74190003","SUPER U PASSY","Système U"
"83400012","INTERMARCHE","Intermarché"
"94160001","AVIA  SAINT MANDE","Avia"
"13270005","INTERMARCHE FOS SUR MER","Intermarché"
"34300013","ENI CAP D&#039,AGDE","Agip"
"54320001","SUPER U - SAS FIMAX","Système U"
"64170012","AGIP LACQ SUD-AUTOROUTE A 64","Agip"
"59780003","SUPER U CAMPHIN EN PEVELE STATION U","Système U"
"38490007","Stop garage","Avia"
"3130002","STATION DONJONNAISE","Dyneff"
"85180001","GEANT CASINO","Géant"
"38090001","CASINO SUPERMARCHE","Casino"
"83130008","ENI AMANDIERS A57 SENS NORD SUD","Agip"
"84160003","SARL FUEL &amp, STATION LAURENT","Indépendant sans enseigne"
"59650002","SUPERMARCHES MATCH  VILLENEUVE D&#039,ASCQ","Supermarché Match"
"42370005","ENI RENAISON","Agip"
"40260005","INTERMARCHE CASTETS","Intermarché"
"25200001","C.C CORA MONTBELIARD","CORA"
"34670001","SAS AVION","Intermarché Contact"
"67340001","SARL GGE STEHLY","Total"
"71260007","SAS BENJALEX","Intermarché Contact"
"75015028","RELAIS BUFFON","Total"
"56550002","M. KERZERHO CHRISTOPHE","Total"
"43770001","STATION J.V.F","Indépendant sans enseigne"
"2200008","ESSO VAUXBUIN","Esso Express"
"33350003","INTERMARCHE CASTILLON LA BATAILLE","Intermarché"
"31600007","RELAIS GUERIN","Total Access"
"69800020","TOTAL ACCESS","Total Access"
"84200011","INTERMARCHE","Intermarché"
"32160001","INTERMARCHE PLAISANCE DU GERS","Intermarché"
"83490004","G CARBURANTS","Dyneff"
"69120010","AGIP VAULX EN VELIN PERI","Agip"
"67000028","SARL JM MAEDER","Agip"
"68200023","AGIP MULHOUSE ROUTE BELFORT","Agip"
"17230002","Super U MARANS","Système U"
"76340005","SUPER U SAS MOTTIN","Système U"
"75008010","RELAIS DE MALESHERBES","Total"
"33113002","INTERMARCHE SAINT SYMPHORIEN","Intermarché"
"28200002","CHATEAUDUN SNVRA","Total"
"68470002","SOC NOUVELLE RELAIS DE LA THUR","Total"
"26270008","ENI A7 AIRE DE SAULCE SENS SUD NORD","Agip"
"44370005","Super U VARADES","Système U"
"26730009","ESSO ROYANS VERCORS","Esso"
"71620002","M. PETIOT PASCAL","Total"
"57590001","DATS DELME","Colruyt"
"87140002","U EXPRESS",""
"14000009","SUPER U","Système U"
"74310002","SUPER U LES HOUCHES","Système U"
"13320014","ENI CHAMPOUSE A51 SENS NORD SUD","Agip"
"74000007","INTERMARCHE ANNECY","Intermarché"
"49440001","Super U CANDE","Système U"
"62140002","EOR GARAGE HESDINOIS S A","Total"
"77400015","ESSO EXPRESS LAGNY","Esso Express"
"72430002","CARREFOUR CONTACT","Carrefour Contact"
"95350002","Carrefour st brice sous forêt","Carrefour"
"13470001","INTERMARCHE CARNOUX EN PROVENCE","Intermarché"
"12230004","TOTAL AUTOMAT","Total"
"38080006","RELAIS DU LOMBARD","Total"
"23300006","Hypermarché Leclerc","Leclerc"
"44522002","SARL MITYB","Système U"
"6650002","Delpy","Indépendant sans enseigne"
"64110003","SARL CAZALIS NOUVELLE","Total"
"34160001","SARL AGATA","Indépendant sans enseigne"
"6500008","RELAIS MENTON GARAVAN ROUTE","Total"
"6640001","STATION DES BAOUS","Esso"
"26450002","STATION U Express PSM","Système U"
"38200004","VIENNEDIS","Leclerc"
"2000002","Carrefour Laon","Carrefour"
"20113002","SARL BARACCI AUTOMOBILES","Total"
"91200001","CARREFOUR ATHIS MONS","Carrefour"
"81100009","le rocher de lunel","Total"
"31140012","ESSO EXPRESS AUCAMVILLE","Esso Express"
"47300002","SARL STATION PEJEAN","Total Access"
"37210004","Supermarché Auchan","Auchan"
"20290010","LE SUD","Esso"
"13015004","ESSO N.D. LIMITE","Esso Express"
"80600006","CENTRE E.LECLERC DOULLENS","Leclerc"
"30190002","SARL BERBON","Indépendant sans enseigne"
"22170005","Carrefour Market","Carrefour Market"
"95100011","ESSO PONT D&#039,ARGENTEUIL","Esso Express"
"77350004","Intermarché","Intermarché"
"51240002","INTERMARCHE CONTACT","Intermarché Contact"
"52100011","INTERMARCHE VERT-BOIS","Intermarché"
"42700007","AGIP FIRMINY","Agip"
"67800014","AGIP BISCHHEIM","Agip"
"76620001","Auchan Le Havre","Auchan"
"6240004","L&#039,Español","Indépendant sans enseigne"
"34120007","STATION SERVICE PEZENAS","Agip"
"76220009","RELAIS PARIS-DIEPPE","Total"
"91220005","BP LE PLESSIS PATE SUD","BP"
"94204001","CARREFOUR IVRY SUR SEINE","Carrefour"
"81700003","INTERMARCHE PUYLAURENS","Intermarché"
"25110001","GARAGE DROZ SARL","Total"
"42700001","GEANT CASINO","Géant"
"4200007","STATION LOUIS Clm",""
"62160002","Carrefour Market","Carrefour Market"
"83600001","GEANT CASINO","Géant"
"43200006","STATION J.V.F","Indépendant sans enseigne"
"85130005","SUPERMARCHE UTILE","Système U"
"45400006","RELAIS DES AUBRAIS","Total"
"76360003","RENAULT RETAIL GROUP ROUEN BARENTIN","Elan"
"84150001","INTERMARCHE JONQUIERES","Intermarché"
